"EIN","NAME","DBA","FISYR","STATE","ADDRESS","CITY","ZIP","STYEAR","ENDYEAR","TAXPREP","FORMTYPE","GROSSRECEIPTS","GROUPRETURN","GROUPEXEMPTNUM","FORMYEAR","DOMICILE","WEBSITE","URL","FORMORGASSOC","FORMORGCORP","FORMORGTRUST","FORMORGOTHER","FORMORGOTHERDESC","FORMORG","ACCTACCRUAL","ACCTCASH","ACCTOTHER","ACCTMETHOD","EXEMPT4947A1","EXEMPT501C","EXEMPT501CNUM","EXEMPT501C3","EXEMPT527","EXEMPTSTATUS","MISSION","DISCOPS","VOTINGMEMBERS","INDVOTINGMEMBERS","TOTEMPLOYEE","TOTVOLUNTEERS","TOTUBI","NETUBI","CONTRIBPRIOR","CONTRIBCURRENT","PSRPRIOR","PSRCURRENT","INVINCPRIOR","INVINCCURRENT","OTHERREVPRIOR","OTHERREVCURRENT","TOTALREVPRIOR","TOTALREVCURRENT","MEMBERDUES","GROSSSALESOTHER","SALESCOSTOTHER","NETSALESOTHER","GROSSINCGAMING","GROSSINCFNDEVENTS","GAMINGEXP","FNDEVENTSEXP","EXPGAMINGFNDEVENTS","GAMINGNET","FNDEVENTSNET","NETGAMINGFNDEVENTS","GROSSSALESINV","SALESCOSTINV","NETSALESINV","GRANTSPAIDPRIOR","GRANTSPAIDCURRENT","MEMBERBENPRIOR","MEMBERBENCURRENT","SALARIESPRIOR","SALARIESCURRENT","PROFUNDFEESPRIOR","PROFUNDFEESCURRENT","TOTFUNDEXP","FEESMGMT","FEESLEGAL","FEESACCT","FEESLOBBY","FEESPROFND","FEESINVMGMT","FEESOTHER","PROFEESINDEP","OCCUPANCY","OFFICEEXP","OTHEREXPPRIOR","OTHEREXPCURRENT","TOTALEXPPRIOR","TOTALEXPCURRENT","REVLESSEXPPRIOR","REVLESSEXPCURRENT","TOTALASSETSBEGYEAR","TOTALASSETSENDYEAR","TOTALLIABBEGYEAR","TOTALLIABENDYEAR","NETASSETSBEGYEAR","OTHERASSETSCHANGES","NETASSETSENDYEAR","CASHBEGYEAR","CASHENDYEAR","SAVINVBEGYEAR","SAVINVENDYEAR","CASHINVBEGYEAR","CASHINVENDYEAR","LANDBLDEQUIPCOST","LANDBLDEQUIPDEP","LANDBEGYEAR","LANDENDYEAR","OTHERASSETSBEGYEAR","OTHERASSETSENDYEAR","TOTALPROGSERVEXP","LOBBYING","FOREIGNREV","SCHEDOPARTVI","VMGOVERNING","IVMGOVERNING","OFFICERREL","MGMTDEL","CHANGESGOVDOCS","DIVASSETS","STOCKMEMBER","MEMBERCHOOSE","GOVBODYDECISION","GOVBODYDOCU","COMMITTEEDOCU","NOTREACH","COIPOLICY","COIDISCLOSE","COIMONITOR","WBPOLICY","FILINGSTATES","PUBLICWEBSELF","PUBLICWEBOTHER","PUBLICREQUEST","PUBLICOTHER","PUBLICSHARE","ORGBOOKNAME","ORGBOOKPHONE","ORGBOOKADDRESS","ORGBOOKCITY","ORGBOOKSTATE","ORGBOOKZIP","PLEDGEGRANTBEGYEAR","PLEDGEGRANTENDYEAR","ACCTRECBEGYEAR","ACCTRECENDYEAR","LOANSFROMOFFBEGYEAR","LOANSFROMOFFENDYEAR","LOANSDQPBEGYEAR","LOANSDQPENDYEAR","LOANSNOTESBEGYEAR","LOANSNOTESENDYEAR","INVENTORYBEGYEAR","INVENTORYENDYEAR","PREEXPBEGYEAR","PREEXPENDYEAR","INVESTPUBBEGYEAR","INVESTPUBENDYEAR","INVESTOTHBEGYEAR","INVESTOTHENDYEAR","INVESTPRGBEGYEAR","INVESTPRGENDYEAR","INTANASSETSBEGYEAR","INTANASSETSENDYEAR","TABALSHEETBEGYEAR","TABALSHEETENDYEAR","ACCTPAYBEGYEAR","ACCTPAYENDYEAR","GRANTSPAYBEGYEAR","GRANTSPAYENDYEAR","DEFREVBEGYEAR","DEFREVENDYEAR","BONDBEGYEAR","BONDENDYEAR","ESCROWBEGYEAR","ESCROWENDYEAR","LOANSTOOFFBEGYEAR","LOANSTOOFFENDYEAR","MORTGAGEBEGYEAR","MORTGAGEENDYEAR","UNSECNOTESBEGYEAR","UNSECNOTESENDYEAR","OTHERLIABBEGYEAR","OTHERLIABENDYEAR","TLBALSHEETBEGYEAR","TLBALSHEETENDYEAR","ORGSFAS117","ORGNOTSFAS117","URESTNABEGYEAR","URESTNAENDYEAR","TRESTNABEGYEAR","TRESTNAENDYEAR","PRESTNABEGYEAR","PRESTNAENDYEAR","STOCKBEGYEAR","STOCKENDYEAR","SURPLUSBEGYEAR","SURPLUSENDYEAR","EARNINGSBEGYEAR","EARNINGSENDYEAR","TOTNETASSETSBEGYEAR","TOTNETASSETSENDYEAR","TOTLIABNABEGYEAR","TOTLIABNAENDYEAR","SCHEDA","SCHEDB","SCHEDC","SCHEDD","SCHEDE","SCHEDF","SCHEDG","SCHEDH","SCHEDI","SCHEDJ","SCHEDK","SCHEDL","SCHEDM","SCHEDN","SCHEDO","SCHEDR","LOBPOFILING","LOBPOAFFIL","LOBLBFILING","LOBLBAFFIL","TOTLOBEXPFILING","TOTLOBEXPAFFIL","OTHEREXEMPTFILING","OTHEREXEMPTAFFIL","TOTEXEMPTFILING","TOTEXEMPTAFFIL","LOBNTFILING","LOBNTAFFIL","zip5","Fips","NteeFinal","LONGITUDE","LATITUDE","censusTract","block","NAICS","OrgType","lon","lat"
20626229,"HOPE NETWORK SERVICES CORPORATION",NA,2013,"MI","PO BOX 890","GRAND RAPIDS",495180890,"10/1/2013","9/30/2014","CAROL HUBBARD CPA CPIM","990",1704696,"0",NA,2002,"MI","WWW.HOPENETWORK.ORG","https://s3.amazonaws.com/irs-form-990/201511349349301771_public.xml",NA,"Corporation",NA,NA,NA,"Corporation","Accrual",NA,NA,"Accrual",NA,NA,NA,"501c3",NA,"501c3","IN CHRISTIAN SERVICE, HOPE NETWORK EMPOWERS PEOPLE TO OVERCOME CHALLENGES TO ACHIEVE THEIR HIGHEST LEVEL OF INDEPENDENCE.",NA,8,0,41,0,0,0,0,0,1763234,1704696,0,0,0,0,1763234,1704696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1104560,1109433,10488,0,0,5101,0,1606,0,0,0,0,6707,113812,72716,603079,573857,1718127,1683290,45107,21406,329513,309586,166422,125089,163091,NA,184497,166835,125511,0,0,166835,125511,83914,77285,11324,6629,0,0,1385175,"0","0","X",8,0,"0","0","0","0","1","1","1","1","1","0","1","1","1","1","MI",NA,NA,"Upon Request",NA,",,Upon Request,",NA,6163018000,NA,NA,NA,NA,0,0,151354,177446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,329513,309586,138289,104992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28133,20097,166422,125089,"X",NA,163091,184497,0,0,0,0,0,0,0,0,0,0,163091,184497,329513,309586,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,49546,26081,"P20",-85.526067,42.910729,26081012203,2.61e+14,624000,"PC",-85.6608081,42.8468508
20768252,"GO-THE-DISTANCE MINISTRIES INC",NA,2013,"MI","7800 JONAGOLD SE","GRAND RAPIDS",49508,"1/1/2013","12/31/2013","VIRGIL A BIGGS CPA","990EZ",116110,NA,NA,NA,"","N/A","https://s3.amazonaws.com/irs-form-990/201431569349200603_public.xml",NA,"Corporation",NA,NA,NA,"Corporation","Accrual",NA,NA,"Accrual",NA,NA,NA,"501c3",NA,"501c3","GO THE DISTANCE MINISTRIES IS A FAITH BASED MINISTRY FOR MEN AND FATHERS TO GROW WITH JESUS. THIS IS ACCOMPISHED THROUGH EDUCATIONAL EVENTS AND EXPERIENCES.",NA,NA,NA,NA,NA,NA,NA,NA,53265,NA,0,NA,0,NA,62845,NA,116110,0,0,0,0,0,0,NA,NA,0,NA,NA,0,0,0,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,127510,NA,127510,NA,-11400,25724,14324,0,0,25724,0,14324,NA,NA,NA,NA,10166,8924,NA,NA,0,0,15558,5400,127510,"FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,49508,26081,"P46",-85.6517,42.8228,26081014805,2.61e+14,624190,"PC",-85.6514721,42.8230762
42957188,"NATIONAL CONGRESS OF STATE GAMES INC",NA,2013,"MI","171 MONROE AVE NW NO 700","GRAND RAPIDS",49503,"11/1/2013","10/31/2014","DANIEL S MILLER CPA","990EZ",29170,NA,NA,NA,"","WWW.STATEGAMES.ORG","https://s3.amazonaws.com/irs-form-990/201542269349201854_public.xml",NA,"Corporation",NA,NA,NA,"Corporation","Accrual",NA,NA,"Accrual",NA,NA,NA,"501c3",NA,"501c3","TO PROMOTE AND NURTURE THE HEALTH, EDUCATION, AND WELFARE OF THE RESIDENTS OF THE UNITED STATES, BY FOSTERING DEVELOPMENT AND MANAGEMENT OF QUALITY SPORTS FESTIVALS BY STATE GAME ORGANIZATIONS.",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,17725,NA,141,NA,2154,NA,29170,9150,0,0,0,0,0,NA,NA,0,NA,NA,0,0,0,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3424,0,206,NA,28575,NA,32205,NA,-3035,124621,140432,30962,49808,93659,0,90624,NA,NA,NA,NA,124621,130432,NA,NA,0,0,0,10000,31303,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,49503,26081,"N60",-85.672229,42.96634,26081002000,2.61e+14,713990,"PC",-85.6725294,42.9660386
43739179,"Urban Family Ministries Inc",NA,2013,"MI","543 Eastern SE","Grand Rapids",49503,"7/1/2013","6/30/2014","JAMES H QUIST CPA","990",286013,"FALSE",NA,2003,"MI","www.urbanfamilyministries.org","https://s3.amazonaws.com/irs-form-990/201500569349300105_public.xml",NA,"Corporation",NA,NA,NA,"Corporation","Accrual",NA,NA,"Accrual",NA,NA,NA,"501c3",NA,"501c3","The purpose of Urban Family Ministries is to be a safe haven for families and youth by developing a community in the heart of Grand Rapids which provides a place for Christ-centered lives and skills to be developed. In this community, we can help to meet the physical, emotional, and spiritual needs of the family within an environment of grace.",NA,6,6,7,175,0,0,254861,280983,222504,3404,315,-402,130,1616,477810,285601,0,0,412,-412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243796,152508,0,0,17004,0,0,875,0,0,0,0,875,17877,13710,234906,123237,478702,275745,-892,9856,614760,625822,295820,297026,318940,NA,328796,28673,39906,14188,40210,42861,80116,770803,226600,570438,544203,0,0,221990,"FALSE","FALSE","X",6,6,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","",NA,"Another's Website","Upon Request",NA,",Another's Website,Upon Request,","ROBERT CORNELISON",6163659009,NA,NA,NA,NA,0,0,250,0,0,0,0,0,0,0,0,0,1211,1503,0,0,0,0,0,0,0,0,614760,625822,8162,18522,0,0,0,0,0,0,0,0,0,0,287658,278504,0,0,0,0,295820,297026,"X",NA,304752,288585,14188,40211,0,0,0,0,0,0,0,0,318940,328796,614760,625822,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,49503,26081,"P20",-85.6494,42.9526,26081003000,2.61e+14,624000,"PC",-85.6495206,42.9525268
43760991,"KIDS' FOOD BASKET INC",NA,2013,"MI","2055 OAK INDUSTRIAL DRIVE NO STE C","GRAND RAPIDS",49505,"7/1/2013","6/30/2014","CURT A REPPUHN CPA","990",2669891,"0",NA,2003,"MI","WWW.KIDSFOODBASKET.ORG","https://s3.amazonaws.com/irs-form-990/201403189349306865_public.xml",NA,"Corporation",NA,NA,NA,"Corporation","Accrual",NA,NA,"Accrual",NA,NA,NA,"501c3",NA,"501c3","FIGHTING CHILDHOOD HUNGER BY PROVIDING SACK SUPPERS TO CHILDREN.",NA,13,13,31,15000,0,0,2217866,2367164,300,285376,451,1173,0,0,2218617,2653713,0,0,0,0,0,16178,0,16178,16178,0,0,0,0,0,0,0,0,0,0,789648,965524,0,0,260181,0,0,28820,0,0,0,157057,185877,31177,65587,1292530,1754430,2082178,2719954,136439,-66241,1747894,1571277,306416,196041,1441478,NA,1375236,891708,593979,148970,326796,1040678,920775,600886,204908,402130,395978,3526,3526,2144798,"0","0","X",13,13,"0","0","0","0","0","0","0","1","1","0","1","1","1","1","MI",NA,"Another's Website","Upon Request",NA,",Another's Website,Upon Request,",NA,6162354532,NA,NA,NA,NA,301560,224260,0,0,0,0,0,0,0,0,0,17943,0,8795,0,0,0,0,0,0,0,0,1747894,1571277,57567,46298,0,0,248849,149743,0,0,0,0,0,0,0,0,0,0,0,0,306416,196041,"X",NA,1112918,1110976,328560,264260,0,0,0,0,0,0,0,0,1441478,1375236,1747894,1571277,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,49505,26081,"K30",-85.621894,42.974683,26081002300,2.61e+14,624210,"PC",-85.6159078,42.9756948
50543506,"CARIBBEAN MEDICAL AND HUMANITARIAN RELIEF CORP",NA,2013,"MI","PO Box 150171","Grand Rapids",49515,"1/1/2013","12/31/2013",NA,"990",208539,"0",NA,2002,"MI","www.firsthandaid.org","https://s3.amazonaws.com/irs-form-990/201412259349300046_public.xml",NA,"Corporation",NA,NA,NA,"Corporation","Accrual",NA,NA,"Accrual",NA,NA,NA,"501c3",NA,"501c3","Medical and Humanitarian aid",NA,12,0,0,40,0,0,31109,100264,0,105852,0,0,40410,990,71519,207106,0,0,0,0,2423,0,1433,0,1433,990,0,990,0,0,0,0,78183,0,0,0,0,0,0,10173,0,4671,271,0,0,0,503,5445,4605,424,77793,118516,77793,196699,-6274,10407,18906,29313,400,400,18506,NA,28913,12877,27804,0,0,12877,27804,0,0,0,0,0,0,169553,"0","0","X",12,0,"0","0","0","0","0","0","0","1","1","0","0",NA,NA,"0","MI",NA,NA,"Upon Request",NA,",,Upon Request,","Joel Talsma",6168938392,NA,NA,NA,NA,6029,1509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18906,29313,400,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,400,"X",NA,18506,28913,0,0,0,0,0,0,0,0,0,0,18506,28913,18906,29313,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,49515,26081,"Q33",-85.5503,43.0314,26081011302,2.61e+14,813311,"PC",-85.63,43.01
134264414,"SPORTSPERSONS MINISTRIES INTERNATIONAL",NA,2013,"MI","PO BOX 88336","GRAND RAPIDS",49518,"1/1/2013","12/31/2013","ROBERT H BREDEWEG CPA","990EZ",131326,NA,NA,NA,"","HTTP://WWW.SPI-INT.ORG/","https://s3.amazonaws.com/irs-form-990/201403229349200110_public.xml",NA,"Corporation",NA,NA,NA,"Corporation",NA,"Cash",NA,"Cash",NA,NA,NA,"501c3",NA,"501c3","SPORTSPERSONS MINISTRIES INTERNATIONAL SERVES GOD BY HELPING CHRISTIAN CHURCHES, ORGANIZATIONS, AND INDIVIDUALS START AND NURTURE THRIVING OUTDOOR MINISTRIES. WE ARE COMMITTED TO REACHING THE OUTDOORS PERSON WITH THE MESSAGE OF CHRIST, NURTURING THEM IN THE FAITH, AND ENJOYING WITH THEM THE WONDERS OF GOD'S CREATION.",NA,NA,NA,NA,NA,NA,NA,NA,106176,NA,21427,NA,11,NA,0,NA,108769,0,0,0,0,0,3712,NA,NA,22557,NA,NA,-18845,0,0,0,NA,0,NA,0,NA,42300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5017,3716,6791,NA,52286,NA,110110,NA,-1341,36255,36340,0,1426,36255,0,34914,NA,NA,NA,NA,36024,36247,NA,NA,0,0,231,93,62702,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,49518,26081,"X0320",-85.5503,43.0314,26081011302,2.61e+14,813920,"PC",-85.625085,42.9862014
200071884,"NEW CREATIONS MINISTRIES INC",NA,2013,"MI","2660 HORIZON DRIVE STE 205","GRAND RAPIDS",49546,"9/1/2013","8/31/2014","MICHELLE L DERIDDER","990EZ",121207,NA,NA,NA,"","N/A","https://s3.amazonaws.com/irs-form-990/201422729349200202_public.xml",NA,"Corporation",NA,NA,NA,"Corporation","Accrual",NA,NA,"Accrual",NA,NA,NA,"501c3",NA,"501c3","THE PRIMARY PURPOSE OF THE ORGANIZATION IS TO ASSIST IN PROVIDING LIFESTYLE TRANSFORMATION WITH A BIBLICAL EMPHASIS TO INCARCERATED INDIVIDUALS AND TO UNDERPRIVILEGED AND AT RISK YOUTH AND ADULTS RESIDING WITHIN THE STATE OF MICHIGAN.",NA,NA,NA,NA,NA,NA,NA,NA,121207,NA,0,NA,0,NA,0,NA,121207,0,0,0,0,0,0,NA,NA,0,NA,NA,0,0,0,0,NA,0,NA,0,NA,18000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1246,18277,65469,NA,14140,NA,117132,NA,4075,54302,62810,1087,5520,53215,0,57290,NA,NA,NA,NA,43735,53454,NA,NA,0,0,10567,9356,101914,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,49546,26081,"P30",-85.5431,42.9165,26081012203,2.61e+14,624110,"PC",-85.542451,42.915327
200092144,"GRCSA EAGLE PARTNERS INC DBA NEW 2 YOU SHOPPE",NA,2013,"MI","2929 29TH STREET SE","GRAND RAPIDS",49512,"7/1/2013","6/30/2014","MARGARET W BISHOP CPA","990",736487,"0",NA,2003,"MI","WWW.NEW2YOUSHOPPE.COM","https://s3.amazonaws.com/irs-form-990/201500309349301600_public.xml",NA,"Corporation",NA,NA,NA,"Corporation","Accrual",NA,NA,"Accrual",NA,NA,NA,"501c3",NA,"501c3","TO SELL DONATED GOODS TO REDUCE TUITION COSTS FOR STUDENTS ATTENDING LOCAL CHRISTIAN SCHOOLS.",NA,12,11,3,140,0,0,978,452,601309,735217,0,139,0,679,602287,736487,0,139,0,139,0,0,0,0,0,0,0,0,0,0,0,420698,474076,420698,0,36089,55862,0,0,16968,0,0,0,0,0,0,0,0,44382,20974,57709,159908,514496,689846,87791,46641,1030999,1077108,5324,4792,1025675,NA,1072316,121832,160149,0,0,121832,160149,880598,201615,673347,678983,0,0,605056,"0","0","X",12,11,"0","0","0","0","0","0","0","1","1","0","0",NA,NA,"0","MI",NA,NA,"Upon Request",NA,",,Upon Request,",NA,6169422929,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,35570,37726,200250,200250,0,0,0,0,0,0,0,0,1030999,1077108,5324,3683,0,0,0,1109,0,0,0,0,0,0,0,0,0,0,0,0,5324,4792,"X",NA,1025675,1072316,0,0,0,0,0,0,0,0,0,0,1025675,1072316,1030999,1077108,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,49512,26081,"B0120",-85.5943,42.9104,26081012607,2.61e+14,813319,"PC",-85.5948952,42.9108049
200320430,"URBAN TRANSFORMATION MINISTRIES",NA,2013,"MI","PO BOX 2692","GRAND RAPIDS",49501,"1/1/2013","12/31/2013","DUANE S CULVER CPA","990EZ",109421,NA,NA,NA,"","N/A","https://s3.amazonaws.com/irs-form-990/201403189349203490_public.xml",NA,"Corporation",NA,NA,NA,"Corporation",NA,"Cash",NA,"Cash",NA,NA,NA,"501c3",NA,"501c3","URBAN TRANSFORMATION MINISTRIES EXISTS TO REDEEM INNER-CITY YOUTH, FAMILIES, AND COMMUNITIES WITH THE TRANSFORMING GOSPEL OF CHRIST.",NA,NA,NA,NA,NA,NA,NA,NA,106211,NA,0,NA,20,NA,3190,NA,109421,0,0,0,0,0,0,NA,NA,0,NA,NA,0,0,0,0,NA,0,NA,0,NA,62054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3620,0,0,NA,33177,NA,98851,NA,10570,32741,42400,1951,1040,30790,0,41360,NA,NA,NA,NA,32741,27805,NA,NA,0,11475,0,3120,83600,"FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,49501,26081,"P40",-85.6291,42.9842,26081001101,2.61e+14,624100,"PC",-85.6736663,42.9713293
